ID;Premise_Name;Premise_Address1;Premise_Address2;Premise_City;Premise_State;Premise_Zip;Premise_Phone;Hours_Of_Operation;Opening_Date;Closing_Date;Seats;Water;Sewage;Insp_Freq;Est_Group_Desc;Risk;Smoking_Allowed;Type_Description;Rpt_Area_Desc;Status;Transitional_Type_Desc;geolocation
57048;KFC;511 HORTON RD;;DURHAM;NC;27704;(919) 479-3044;;2006-09-06;;48;5 - Municipal/Community;3 - Municipal/Community;3;Fast Food Restaurant;3;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0507859, -78.9044701
179953;DUKE UNIVERSITY/TRIDENT PROVISIONS LEVEL 3;115 FRANK BASSETT DRIVE;;DURHAM;NC;27708;(954) 295-2226;;2016-09-15;;450;5 - Municipal/Community;3 - Municipal/Community;4;;4;N/A;6 - Edu. Food Service;Food Service;ACTIVE;FOOD;35.9950533, -78.9447645
180462;TRIDENT PROVISIONS  4TH FLOOR PANTRY;WALLACE WADE STADIUM TOWER;;DURHAM;NC;27708;(954) 295-2226;;2016-09-29;;300;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;6 - Edu. Food Service;Food Service;ACTIVE;FOOD;35.9953688, -78.9417564
188410;PURDUE PHARMA MANUFACTURING LP;5235 INTERNATIONAL DR;;DURHAM;NC;27712;(984) 439-1054;;2017-01-19;;104;5 - Municipal/Community;3 - Municipal/Community;4;;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.1027227, -78.8482093
155417;W.D. HILL RECREATION CENTER;1308 FAYETTEVILLE ST.;;DURHAM;NC;27707;(919) 560-4292;;2014-06-16;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.9806158, -78.9000066
178997;FRESH DESIRES CATERING LLC;1101 W CHAPEL HILL ST;;DURHAM;NC;27701;(336) 944-5562;;2016-08-09;;;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;2 - Food Stands;Food Service;ACTIVE;FOOD;35.9965963, -78.9158568
180470;TASTY HAVEN MOBILE;518 E TRINITY AVE;;DURHAM;NC;27707;(919) 808-8145;;2016-10-03;;;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;3 - Mobile Food;Mobile Food;ACTIVE;FOOD;36.00718, -78.8860193
179334;ZWELI'S;1101 W CHAPEL HILL STREET;;DURHAM;NC;27701;(919) 454-9397;;2016-08-23;;;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;2 - Food Stands;Food Service;ACTIVE;FOOD;35.9965963, -78.9158568
58147;CEDARS OF CHAPEL HILL IFS;101 GREEN CEDAR LANE;;CHAPEL HILL;NC;27517;(919) 259-7000;;2004-09-08;;0;5 - Municipal/Community;3 - Municipal/Community;4;Nursing Home;4;NO;16 - Institutional Food Service;Food Service;ACTIVE;FOOD;35.9094306, -79.0070942
189532;MEKONG;2121 TW ALEXANDER DR. SUITE 110-111;;MORRISVILLE;NC;27560;(919) 359-9950;;2017-02-13;;65;5 - Municipal/Community;3 - Municipal/Community;4;Full-Service Restaurant;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9205016, -78.8108783
168440;BLUE CROSS BLUE SHIELD UP5;4615 UNIVERSITY DRIVE;;DURHAM;NC;27707;(919) 765-4699;;2015-09-16;;100;5 - Municipal/Community;3 - Municipal/Community;4;Full-Service Restaurant;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.955213, -78.964034
170061;JOE VAN GOGH;4711 HOPE VALLEY ROAD SUITE 19;;DURHAM;NC;27707;(919) 973-3950;;2015-11-30;;28;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9207272, -78.9573299
188540;FIFTH FARE;727 N MANGUM ST 100;;DURHAM;NC;27705;(919) 748-9879;will email schedule;2017-01-27;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;61 - Tattoo Artists;Tattoo Establishments;ACTIVE;N/A;36.0011328, -78.8957226
167338;THE DOG HOUSE;3521 HILLSBOROUGH RD;;DURHAM;NC;27705;(919) 314-7661;;2015-08-03;;;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;2 - Food Stands;Food Service;ACTIVE;FOOD;36.0209846, -78.9510927
170774;FLIRTING WITH FIRE;3726 MAYFAIR ST;;DURHAM;NC;27701;(919) 208-0967;;2016-02-01;;;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;3 - Mobile Food;Mobile Food;ACTIVE;FOOD;35.968657, -78.953113
169841;TACO EXPRESS;315 FOUSHEE ST;;DURHAM;NC;27704;(917) 676-5774;;2015-11-13;;;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;3 - Mobile Food;Mobile Food;ACTIVE;FOOD;36.015969, -78.8884158
189712;BENICHIE;316 W GREER ST;;DURHAM;NC;27701;(919) 768-3363;;2017-02-21;;32;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.918233, -78.919787
167190;KLC II;1910 SEDWICK RD.;;DURHAM;NC;27713;;;2015-07-22;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.8878452, -78.8965877
170568;GUASACA AREPA AND SALSA GRILL;2200 WEST MAIN STREET SUITE A100;;DURHAM;NC;27705;(919) 294-8939;;2016-01-06;;60;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0081313, -78.9261556
181846;CAMBRIA DURHAM DUKE MEDICAL;2306 ELBA ST.;;DURHAM;NC;27705;(919) 286-3111;;2016-12-15;;54;5 - Municipal/Community;3 - Municipal/Community;3;Full-Service Restaurant;3;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0095417, -78.9367635
169757;DOGSTAR TATTOO;807 E MAIN ST;;DURHAM;NC;27701;(919) 724-0897;12 - 9 pm   re issue permit (not done at time of permiting);2015-11-12;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;61 - Tattoo Artists;Tattoo Establishments;ACTIVE;N/A;35.9908126, -78.8902944
181786;DOGSTART TATTOO CO.;807 E MAIN ST;;DURHAM;NC;27701;(336) 870-7201;"M-Th-12-9
Fri-Sat-12-10
Sun-12-7";2016-12-12;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;61 - Tattoo Artists;Tattoo Establishments;ACTIVE;N/A;35.9908126, -78.8902944
181804;THE DOG SHACK;2104 ANGIER AVE JOE’S COMMISSARY;;DURHAM;NC;27703;(919) 758-3828;;2016-12-13;;;5 - Municipal/Community;3 - Municipal/Community;4;Fast Food Restaurant;4;N/A;4 - Push Carts;Mobile Food;ACTIVE;FOOD;35.9819333, -78.8777813
178863;CARING HANDS GLEN FALLS;500 GLEN FALLS LN. APT 103;;DURHAM;NC;27713;(919) 332-2659;;2016-08-02;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;43 - Residential Care;Residential Care;ACTIVE;N/A;35.8858729, -78.8872108
178915;PUPUSERIA ANITA #2;2104 ANGIER AVE JOE’S COMMISSARY;;DURHAM;NC;27703;(919) 599-9407;;2016-08-04;;;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;3 - Mobile Food;Mobile Food;ACTIVE;FOOD;35.9819333, -78.8777813
174439;DURTY BULL BREWING COMPANY;206 BROADWAY ST SUITE 104;;DURHAM;NC;27701;;;2016-06-02;;50;5 - Municipal/Community;3 - Municipal/Community;1;;1;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0011871, -78.8982994
178290;YOUTH WORK CAREER READINESS TRAINING;1625 COOPER ST.;;DURHAM;NC;27703;;;2016-07-01;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.9731606, -78.8813021
178282;HOLTON  PLC;401 N DRIVER ST.;;DURHAM;NC;27703;;;2016-06-01;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.9896508, -78.8788866
174438;JIMMY'S FAMOUS HOTDOGS;4535 HWY 55;;DURHAM;NC;27713;(919) 361-6888;;2016-06-06;;44;5 - Municipal/Community;3 - Municipal/Community;4;Full-Service Restaurant;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9048078, -78.8947606
63622;NEO JAPAN;1125 WEST HWY. 54 SUITE 401;;DURHAM;NC;27707;(919) 490-0120;;2008-12-16;;55;5 - Municipal/Community;3 - Municipal/Community;4;Fast Food Restaurant;4;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9182655, -78.9593263
168971;COMFORT INN;1816 HILLANDALE ROAD;;DURHAM;NC;27705;(919) 471-6100;;2015-10-06;;28;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.030093, -78.9351
168231;FOOD LION PRODUCE  #939;4621 HILLSBOROUGH ROAD;;DURHAM;NC;27705;(919) 309-0385;;2015-09-03;;;5 - Municipal/Community;3 - Municipal/Community;2;Produce Department and Salad Bar;2;N/A;2 - Food Stands;Food Service;ACTIVE;FOOD;36.0318768, -78.9792006
170647;RANDY'S PIZZA EXPRESS;1058 W CLUB BLVD;;DURHAM;NC;27701;(919) 286-3397;;2016-01-19;;;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;2 - Food Stands;Food Service;ACTIVE;FOOD;36.018111, -78.9102149
179507;FOOD VISION @ DURHAM TECH;1625 COOPER ST;;DURHAM;NC;27703;(919) 998-8305;;2016-08-30;;70;5 - Municipal/Community;3 - Municipal/Community;4;;4;N/A;6 - Edu. Food Service;Food Service;ACTIVE;FOOD;35.9731606, -78.8813021
178414;WENDY'S #6315;910 MARTIN LUTHER KING PARKWAY;;DURHAM;NC;27713;(620) 231-3390;;2016-07-27;;65;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9464433, -78.9221009
62739;RIZZO CONFERENCE CENTER;150 DUBOSE HOUSE LN;;CHAPEL HILL;NC;27517;(919) 913-2098;;2008-09-30;;0;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;20 - Lodging;Lodging;ACTIVE;LODGING;35.9103688, -79.0048429
63621;HARRIS TEETER 254 MARKET;1501 HORTON ROAD;;DURHAM;NC;27705;(919) 471-1938;;2009-01-07;;0;5 - Municipal/Community;3 - Municipal/Community;3;;3;NO;30 - Meat Market;Food Service;ACTIVE;FOOD;36.0563065, -78.930937
170475;CARING HANDS;15 TOMS ROCK PLACE;;DURHAM;NC;27704;(919) 479-6806;;2015-12-21;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;43 - Residential Care;Residential Care;ACTIVE;N/A;36.034662, -78.812509
66036;KFC TACO BELL;1110 WEST HWY 54;;DURHAM;NC;27707;(919) 530-8119;;2009-02-05;;73;5 - Municipal/Community;3 - Municipal/Community;3;Fast Food Restaurant;3;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9194243, -78.9583855
59223;ALDEN PLACE AT SOUTH SQUARE;4225 LARCHMONT DRIVE;SUITE 100;DURHAM;NC;27707;;;2006-01-04;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;53 - Year-Round Swimming Pool;Swimming Pools;ACTIVE;N/A;35.9641639, -78.9654913
87186;NUCARE FAMILY CARE HOME;713 EVA ST;;DURHAM;NC;27701;(919) 766-1318;;2011-07-29;;3;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;43 - Residential Care;Residential Care;ACTIVE;N/A;35.993772, -78.888738
57154;SILVER SPOON;5230 N ROXBORO ROAD;;DURHAM;NC;27712;(919) 479-7172;;2007-12-12;;108;5 - Municipal/Community;3 - Municipal/Community;4;;4;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0732931, -78.9085238
155413;STUDENT ATHLETE LEADERSHIP;712 CECIL ST.;;DURHAM;NC;27707;(919) 530-7175;;2014-06-16;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.970591, -78.895535
58986;WASHINGTON DUKE INN;3001 CAMERON BLVD;;DURHAM;NC;27706;;;1994-07-12;;0;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;50 - Seasonal Swimming Pool;Swimming Pools;ACTIVE;N/A;35.9928636, -78.9474745
58975;STRUCTURE HOUSE;3017 PICKETT ROAD;;DURHAM;NC;27705;;;1994-07-14;;0;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;50 - Seasonal Swimming Pool;Swimming Pools;ACTIVE;N/A;35.9733294, -78.9634206
58972;STONEWALL VILLAGE HOA;4540 NEWBY;;DURHAM;NC;27704;;;1994-08-30;;0;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;50 - Seasonal Swimming Pool;Swimming Pools;ACTIVE;N/A;36.0524175, -78.907738
58961;ROLLING HILLS HOA;POINCIANA DR;;DURHAM;NC;27701;;;1994-07-25;;0;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;50 - Seasonal Swimming Pool;Swimming Pools;ACTIVE;N/A;35.985768, -78.900744
155398;21 CCLC FAYETTEVILLE ST.;7415 FAYETTEVILLE RD;;DURHAM;NC;27713;;;2015-07-08;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.8936114, -78.941814
57164;FIREHOUSE SUBS # 325;2608 ERWIN ROAD SUITE 128;;DURHAM;NC;27705;(919) 479-9995;;2008-01-23;;40;5 - Municipal/Community;3 - Municipal/Community;3;Fast Food Restaurant;3;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0093049, -78.9448625
57279;PIZZA HUT DELIVERY;4201-103 UNIVERSITY DRIVE;;DURHAM;NC;27707;(919) 490-9099;;1990-07-01;;0;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;NO;2 - Food Stands;Food Service;ACTIVE;FOOD;35.9647847, -78.9572917
56312;ARBY'S;2115 S HWY 54;;DURHAM;NC;27713;(919) 361-0090;;1997-10-28;;46;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9024955, -78.8936223
188312;HILTON DURHAM FOOD SERVICE;3800 HILLSBOROUGH ROAD;;DURHAM;NC;27705;(919) 383-8033;;2017-01-12;;129;5 - Municipal/Community;3 - Municipal/Community;4;;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0262558, -78.9567106
58516;PRIMARY COLORS EARLY LEARNING CENTER;3008 DIXON ROAD;;DURHAM;NC;27707;(919) 490-0987;;1994-08-09;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;42 - Child Care;Day Care;ACTIVE;N/A;35.9672078, -78.9406506
58480;KINDER CARE LEARNING CENTER;3703 UNIVERSITY DRIVE;;DURHAM;NC;27707;(919) 489-7269;;1994-08-18;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;42 - Child Care;Day Care;ACTIVE;N/A;35.9669489, -78.9496792
55481;BULLOCK'S BAR B CUE  INC;3330 QUEBEC STREET;;DURHAM;NC;27705;(919) 383-3211;;1990-07-01;;244;5 - Municipal/Community;3 - Municipal/Community;4;;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0199128, -78.9447416
58426;BETHESDA CHILD CARE CENTER  1;1914 S MIAMI BLVD;;DURHAM;NC;27703;(919) 596-5420;;1994-11-09;;113;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;42 - Child Care;Day Care;ACTIVE;N/A;35.9435792, -78.8393888
122023;ONE LOVE MINISTERIES;1210 HORTON RD;;DURHAM;NC;27704;(919) 688-2163;;2013-06-17;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;36.057008, -78.919262
155387;FOREST VIEW;3007 MT. SINAI RD.;;DURHAM;NC;27705;(919) 560-3932;;2014-06-30;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.988694, -78.991347
56358;BAYER CROP SCIENCE SODEXO;2 T W ALEXANDER DR;;RTP;NC;27709;(919) 549-3498;;1998-05-14;;200;5 - Municipal/Community;3 - Municipal/Community;4;Full-Service Restaurant;4;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9261083, -78.8555425
56963;BRIGS AT THE PARK;4900  NC 55;SUITE 520;DURHAM;NC;27713;(919) 544-7473;;2005-06-13;;98;5 - Municipal/Community;3 - Municipal/Community;4;Full-Service Restaurant;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.8992247, -78.8985816
58587;FAITH ASSEMBLY CHRISTIAN CCC;3120 FAYETTEVILLE ST;;DURHAM;NC;27707;(919) 687-2763;;1998-01-15;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;42 - Child Care;Day Care;ACTIVE;N/A;35.9629837, -78.9094238
58540;CHILDCARE NETWORK;115 RIPPLING STREAM;;DURHAM;NC;27704;(919) 620-1569;;1994-07-14;;149;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;42 - Child Care;Day Care;ACTIVE;N/A;36.0716224, -78.9073732
156324;PETTIGREW REHBILITATION CENTER;1515 WEST PETTIGREW ST;;DURHAM;NC;27705;(919) 286-0751;;2014-08-06;;25;5 - Municipal/Community;3 - Municipal/Community;4;;4;N/A;16 - Institutional Food Service;Food Service;ACTIVE;FOOD;36.0052163, -78.9215119
154010;COOK OUT;3119 SHANNON ROAD;;DURHAM;NC;27707;(919) 864-8634;;2014-04-23;;62;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9668749, -78.9550821
162084;MCDOUGALD TERRACE HEAD START;1101 E LAWSON STREET;;DURHAM;NC;27702;(919) 598-1910;;2015-01-12;;20;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;42 - Child Care;Day Care;ACTIVE;N/A;35.9744755, -78.890838
