OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1011,04092050018,Cardinal Gibbons School Cafeteria,1401 EDWARDS MILL RD,,RALEIGH,NC,27607-3616,(919) 834-1625,2000-08-11T00:00:00.000Z,Private School Lunchrooms,7000,-78.72901246,35.8026036,M
1012,04092300143,Food Lion #938 Meat Market,517 N MAIN ST,,HOLLY SPRINGS,NC,27540-9397,(919) 557-1175,2000-07-01T00:00:00.000Z,Meat Market,7002,-78.83687096,35.65966056,M
1013,04092110123,Salem Elementary Sch. Cafeteria,6116 OLD JENKS RD ,,APEX,NC,27523-8242,(919) 363-2970,2000-08-18T00:00:00.000Z,Public School Lunchrooms,7004,-78.85004563,35.7560422,M
1014,04092016565,BOJANGLES #49,9919 FAYETTEVILLE ST ,,RALEIGH,NC,27603,(919) 557-6843,2013-11-12T00:00:00.000Z,Restaurant,7011,-78.71414411,35.63414101,M
1015,04092017708,Outback #3443,901 Walnut ST ,,CARY,NC,27511,(919) 460-1770,2017-10-05T00:00:00.000Z,Restaurant,7016,-78.76560091,35.77486758,M
1016,04092016722,Lucky Chicken II,1851 N. Harrison Avenue,,CARY,NC,27513,(919) 678-3153,2014-07-08T00:00:00.000Z,Restaurant,7026,-78.76773947,35.83015295,M
1017,04092110506,ABBOTTS CREEK ELEMENTARY CAFETERIA,9900 DURANT RD ,,RALEIGH,NC,27614,,2015-08-21T00:00:00.000Z,Public School Lunchrooms,7029,-78.57818214,35.90199471,M
1018,04092021873,FOOD LION #1514 MEAT/SEAFOOD,9567 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 462-1542,2015-08-31T00:00:00.000Z,Food Stand,7030,-78.81120699,35.8045716,M
1019,04092016833,SUBWAY #3151,311 CROSSROADS BLVD ,,CARY,NC,27518,(919) 851-9594,2014-12-31T00:00:00.000Z,Restaurant,7044,-78.73871452,35.76064286,M
1020,04092030271,BARONE MEATBALL COMPANY (wcid #511),4800 FALLS OF NEUSE ROAD,,RALEIGH,NC,27609,(919) 275-0625,2015-01-02T00:00:00.000Z,Mobile Food Units,7060,-78.61351204,35.84720384,M
1021,04092016835,ALPACA PERUVIAN CHARCOAL CHICKEN,4614 CAPITAL BLVD ,,RALEIGH,NC,27604,(919) 713-0000,2014-12-29T00:00:00.000Z,Restaurant,7061,-78.57926249,35.84833828,M
1022,04092014892,Chef Mario,2610 Wycliff RD,,RALEIGH,NC,27607,(919) 781-4141,2007-06-26T00:00:00.000Z,Restaurant,7066,-78.69062153,35.81786688,M
1023,04092030175,DON BETO EL POBLANO (WCID #482),2305 Capital Blvd,,RALEIGH,NC,27604,(919) 395-0925,2007-06-22T00:00:00.000Z,Mobile Food Units,7067,-78.61259081,35.81112408,M
1024,04092110120,Wildwood Forest Elem. Sch. Cafeteria,8401 Wildwood Forest Dr ,,RALEIGH,NC,27616-5700,(919) 713-0600,1999-08-13T00:00:00.000Z,Public School Lunchrooms,7071,-78.55112468,35.89352253,M
1025,04092017797,Your Pie,4233 Corners PKY ,,RALEIGH,NC,27617,(919) 957-0077,2018-02-06T00:00:00.000Z,Restaurant,7083,-78.78823819,35.91915394,M
1026,04092015697,Subway,10130 Green Level Church  Rd Suite 300,,CARY,NC,27519,(919) 460-9422,2010-08-03T00:00:00.000Z,Restaurant,7090,-78.90107787,35.82060359,M
1027,04092016177,TRAVINIA ITALIAN KITCHEN,1301 MARKET CENTER DR ,,MORRISVILLE,NC,27560,(919) 467-1718,2012-04-27T00:00:00.000Z,Restaurant,7092,-78.81676023,35.80454378,M
1028,04092300256,LAS TRES FRONTERAS SUPER MERCADO,748 E CHATHAM  ST ,,CARY,NC,27511,(919) 380-3592,2012-05-22T00:00:00.000Z,Meat Market,7093,-78.76514155,35.79157241,M
1029,04092012004,Applebee`s,501 E Six Forks Rd,,RALEIGH,NC,27609-7889,(919) 856-9030,1997-01-31T00:00:00.000Z,Restaurant,7097,-78.62327835,35.81997806,M
1030,04092013238,Los Tres Magueyes # 4,12400-101 Wake Union Ch. RD ,,WAKE FOREST,NC,27587-4509,(919) 554-2554,2000-11-21T00:00:00.000Z,Restaurant,7102,0,0,U
1031,04092017740,"Chilango Tacos Bar &amp; Grill",2253 New Hope Church RD ,,RALEIGH,NC,27604,(919) 307-3672,2017-11-01T00:00:00.000Z,Restaurant,7103,-78.60062749,35.83624718,M
1032,04092025153,Little Caesars #15,4610 Capital  BLVD ,,RALEIGH,NC,27604,(919) 877-8600,2017-11-28T00:00:00.000Z,Food Stand,7104,-78.57926249,35.84833828,M
1033,04092025157,Speedway #6975,1741 Trawick RD ,,RALEIGH,NC,27604,(919) 231-2202,2017-11-29T00:00:00.000Z,Food Stand,7105,-78.57834285,35.80135514,M
1034,04092017756,Your Pie #47,685 Cary Towne BLVD ,,Cary,NC,27511,(919) 378-9578,2017-12-05T00:00:00.000Z,Restaurant,7107,-78.76677132,35.77674815,M
1035,04092021399,Harris Teeter #138 Meat/Seafood,98 Cornerstone DR ,,CARY,NC,27519,(919) 467-1259,2006-09-05T00:00:00.000Z,Food Stand,7110,-78.85187583,35.79044843,M
1036,04092016791,HOLLY HILL CHILDREN'S HOSPITAL DINING,201 MICHAEL J. SMITH LANE,,RALEIGH,NC,27610,(919) 250-7000,2014-10-22T00:00:00.000Z,Restaurant,7112,-78.5783855,35.77912888,M
1037,04092016804,"THE GARDEN GRILLE &amp; BAR",1500 RDU CENTER DR,,MORRISVILLE,NC,27560-8278,(919) 840-8088,2014-11-17T00:00:00.000Z,Restaurant,7113,-78.79608047,35.85105891,M
1038,04092014920,Applebee`s #353,7831 Target CIR ,,RALEIGH,NC,27614,(919) 872-2401,2007-07-25T00:00:00.000Z,Restaurant,7116,-78.57080589,35.8669538,M
1039,04092014332,EMC2,One Technology DR ,,APEX,NC,27502,(919) 387-5338,2004-07-02T00:00:00.000Z,Restaurant,7124,0,0,U
1040,04092016334,UNITED SKATES CAFE,2901 TRAWICK RD ,,RALEIGH,NC,27604-3754,(919) 790-3808,2013-01-08T00:00:00.000Z,Restaurant,7127,-78.58934619,35.82027864,M
1041,04092013028,PNC Arena Main Kitchen,1400 EDWARDS MILL RD,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999-10-28T00:00:00.000Z,Restaurant,7147,-78.7229363,35.8032419,M
1042,04092013297,Willow Creek Exxon,1133 OLD HONEYCUTT RD ,,FUQUAY VARINA,NC,27526-8923,(919) 577-6361,2001-03-08T00:00:00.000Z,Restaurant,7151,-78.75761891,35.58333571,M
1043,04092110088,Willow Spring Elem.Cafet.,6800 DWIGHT ROWLAND RD,,WILLOW SPRING,NC,27592-9342,(919) 557-2957,1992-08-06T00:00:00.000Z,Public School Lunchrooms,7183,-78.72841766,35.593328,M
1044,04092013892,O`Charley`s,8115 Brier Creek Pky,,RALEIGH,NC,27617,(919) 484-4038,2003-09-04T00:00:00.000Z,Restaurant,7193,-78.78356454,35.90992734,M
1045,04092016763,FIRST WATCH,6109 GLENWOOD AVE.,,RALEIGH,NC,27612,(919) 789-3347,2014-09-25T00:00:00.000Z,Restaurant,7194,-78.70249018,35.85532535,M
1046,04092016097,HYATT PLACE,710 CORPORATE CENTER DR ,,RALEIGH,NC,27607,(919) 233-2205,2012-01-31T00:00:00.000Z,Restaurant,7202,-78.73805959,35.79191164,M
1047,04092021701,PAPA JOHN'S,5007 WINSTON HILL DR ,,CARY,NC,27513,(919) 380-7272,2012-02-16T00:00:00.000Z,Food Stand,7204,-78.84641118,35.79047558,M
1048,04092014686,Longhorn Steakhouse #277,1411 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 303-4889,2006-09-22T00:00:00.000Z,Restaurant,7205,-78.88323254,35.74554014,M
1049,04092014694,Brueggers`s Bagel ,760 W Williams ST ,,APEX,NC,27502,(919) 367-7720,2006-09-29T00:00:00.000Z,Restaurant,7207,-78.86276064,35.73803219,M
1053,04092016144,PANERA BREAD #1648,6123 CAPITAL BLVD ,,RALEIGH,NC,27616,(919) 865-1965,2012-03-28T00:00:00.000Z,Restaurant,7248,-78.58309511,35.86882022,M
1050,04092017036,HWY 55 OF APEX,802 PERRY RD ,,APEX,NC,27502,(919) 303-3533,2015-10-19T00:00:00.000Z,Restaurant,7234,-78.84460695,35.72084741,M
1051,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015-10-09T00:00:00.000Z,Food Stand,7235,-78.87770701,35.75964934,M
1052,04092011235,Olive Garden,4805 Capital Blvd,,RALEIGH,NC,27616-4483,(919) 954-8557,1993-03-09T00:00:00.000Z,Restaurant,7245,-78.58156068,35.85089434,M
1054,04092016169,NET APP CAFE BLDG3,7301 KIT CREEK  RD ,BLDG 3,RTP,NC,27709,,2012-04-20T00:00:00.000Z,Restaurant,7250,0,0,U
1055,04092030285,EL GALLO PELON (WCID #536),6101 GLENWOOD AVE ,,RALEIGH,NC,27612,,2015-08-11T00:00:00.000Z,Mobile Food Units,7252,-78.70209872,35.85487832,M
1056,04092017014,MOD PIZZA MILLBROOK,2071-103 W MILLBROOK RD ,,RALEIGH,NC,27612,(919) 987-3668,2015-08-11T00:00:00.000Z,Restaurant,7253,-78.67947366,35.858145,M
1057,04092016582,APEX WINGS,518 E WILLIAMS ST ,,APEX,NC,27502-2151,(919) 387-0082,2013-12-20T00:00:00.000Z,Restaurant,7262,-78.84778574,35.72374776,M
1058,04092016600,LUGANO RISTORANTE,1060 DARRINGTON DR ,,CARY,NC,27513,(919) 468-7229,2014-01-21T00:00:00.000Z,Restaurant,7264,-78.81615412,35.79989381,M
1059,04092017027,"CAPITAL OAKS CULINARY &amp; DINING SERVICES",6498 RAY RD ,,RALEIGH,NC,27613,(919) 784-0099,2015-09-17T00:00:00.000Z,Restaurant,7270,-78.69653255,35.86810514,M
1060,04092021818,PUBLIX #1466 SEAFOOD,1020 BRADFORD PLAZA WAY,,CARY,NC,27513,(919) 460-2082,2014-10-28T00:00:00.000Z,Food Stand,7276,-78.84558396,35.79325638,M
1061,04092014886,Chili`s #1393,11380 Capital BLVD ,,WAKE FOREST,NC,27587,(919) 554-0488,2007-06-12T00:00:00.000Z,Restaurant,7279,-78.53983156,35.95485838,M
1062,04092160061,Elmcroft of Northridge,600 Newton RD ,,RALEIGH,NC,27615,(919) 848-4906,2007-07-26T00:00:00.000Z,Institutional Food Service,7281,-78.63711313,35.87834919,M
1063,04092015578,CANTINA 18,433  DANIELS  ST ,,RALEIGH,NC,27605,(919) 835-9911,2010-03-04T00:00:00.000Z,Restaurant,7296,-78.66157335,35.79001079,M
1064,04092017033,LONGHORN 5556,300 CONSERVATION RD ,,GARNER,NC,27529,(919) 772-7707,2015-09-17T00:00:00.000Z,Restaurant,7298,-78.58232284,35.69664726,M
1065,04092010618,Roast Grill,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991-04-22T00:00:00.000Z,Restaurant,7317,-78.64564398,35.78023304,M
1066,04092014973,Sonic Drive-In #3975,700 Cayman AVE ,,HOLLY SPRINGS,NC,27540,(919) 567-2555,2007-08-01T00:00:00.000Z,Restaurant,7329,-78.83534808,35.66114172,M
1067,04092016134,CAPPOLLA'S PIZZA AND GRILL,7039 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 217-1110,2012-03-16T00:00:00.000Z,Restaurant,7337,-78.4900383,35.7998273,M
1068,04092016769,SMITHFIELD'S CHICKEN N BAR-B-QUE,1440 E BROAD ST ,,FUQUAY VARINA,NC,27526,(919) 557-2400,2014-10-10T00:00:00.000Z,Restaurant,7338,-78.77463279,35.59446528,M
1069,04092017042,BELGIAN CAFE,1232 W WILLIAMS ST ,,APEX,NC,27502,(919) 372-5128,2015-09-24T00:00:00.000Z,Restaurant,7346,-78.87260969,35.74617777,M
1070,04092017075,TAPLINE GROWLER,1110 KENTWORTH DR ,,HOLLY SPRINGS,NC,27540,(919) 762-7329,2015-11-03T00:00:00.000Z,Restaurant,7348,-78.8299761,35.6377161,M
1074,04092016790,214 MARTIN STREET,214 E. MARTIN STREET,,RALEIGH,NC,27601,(919) 977-3646,2014-10-22T00:00:00.000Z,Restaurant,7352,-78.63599541,35.77650911,M
1071,04092021912,FOOD LION #1079 PRODUCE,5621 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 981-0402,2015-11-18T00:00:00.000Z,Food Stand,7349,-78.55796888,35.85459972,M
1072,04092016784,SCHIANO'S PIZZA PASTA WINGS,948 GATEWAY COMMONS CIRCLE,,WAKE FOREST,NC,27587,(919) 263-9177,2014-10-07T00:00:00.000Z,Restaurant,7350,-78.49517848,35.9673291,M
1073,04092021815,HARRIS TEETER #430 - PRODUCE,885 WALNUT ST ,,CARY,NC,27511,(919) 481-4251,2014-10-15T00:00:00.000Z,Food Stand,7351,-78.76560091,35.77486758,M
1075,04092016803,GARDENS AT WAKEFIELD PLANTATION,12800 SPRUCE TREE  WAY ,,RALEIGH,NC,27614,(919) 562-5580,2014-11-07T00:00:00.000Z,Restaurant,7353,-78.56215874,35.94291372,M
1076,04092016810,HIGHCRAFT BEER MARKET,2716 HWY. 55,,CARY,NC,27519,(919) 267-6593,2014-11-13T00:00:00.000Z,Restaurant,7354,0,0,U
1077,04092016817,TELEFLEX CAFE,3015 CARRINGTON MILL BLVD.,,MORRISVILLE,NC,27560,(919) 361-4154,2014-11-21T00:00:00.000Z,Restaurant,7356,-78.83567394,35.86501618,M
1078,04092016816,LUCETTEGRACE,235 S. SALISBURY STREET,,RALEIGH,NC,27601,(919) 307-4950,2014-11-21T00:00:00.000Z,Restaurant,7357,-78.63978546,35.77728476,M
1079,04092015563,HOLIDAY INN EXPRESS HOTEL & SUITES BREAKFAST,3741 THISTLE DOWN  DR ,,RALEIGH,NC,27606,(919) 854-0001,2010-01-19T00:00:00.000Z,Restaurant,7363,-78.69949944,35.75439959,M
1080,04092017040,BEST WESTERN PLUS EDISON INN FOODSERVICE,1595 MECHANICAL BLVD ,,GARNER,NC,27529,(919) 662-4890,2015-10-27T00:00:00.000Z,Restaurant,7367,-78.64471806,35.72391732,M
1081,04092021885,CHICK-FIL-A AT CARY TOWNE CENTER,"1105  WALNUT  ST., STE. FC-7",,CARY,NC,27511,(919) 380-7644,2015-11-02T00:00:00.000Z,Food Stand,7369,-78.76025493,35.77377018,T
1082,04092021508,Harris Teeter #330 Deli,1151  Tryon Village DR ,,CARY,NC,27518,(919) 233-3476,2008-02-21T00:00:00.000Z,Food Stand,7373,-78.74322582,35.74716614,M
1083,04092015698,Hibachi China Buffet,111 Shannon Oaks  Circle,,CARY,NC,27511,(919) 388-1686,2010-08-16T00:00:00.000Z,Restaurant,7378,-78.78396413,35.75999139,M
1084,04092016897,FIVE GUYS 1710,1121 PARKSIDE MAIN ST.,,CARY,NC,27519,(919) 380-0450,2015-03-25T00:00:00.000Z,Restaurant,7389,-78.88929435,35.84836238,M
1085,04092017653,"PAPAYA CHICKEN &amp; GRILL",7909 FALLS OF NEUSE RD ,SUITE 105,RALEIGH,NC,27615,(984) 233-6263,2017-07-21T00:00:00.000Z,Restaurant,7400,-78.62599606,35.89330024,M
1086,04092017668,WILD WING CAFE #119,7900 Brier Creek PKY,,RALEIGH,NC,27617,(919) 957-2000,2017-08-22T00:00:00.000Z,Restaurant,7401,-78.78114796,35.9142133,M
1087,04092300154,Food Lion #757 Meat Market,1100-122 Raleigh Blv,,RALEIGH,NC,27610-1076,(919) 829-7077,2000-07-01T00:00:00.000Z,Meat Market,7406,-78.61277558,35.79430477,M
1088,04092015320,LA COCINA #6,1221 TIMBER DR E ,,GARNER,NC,27529,(919) 772-6999,2009-01-09T00:00:00.000Z,Restaurant,7415,-78.57544773,35.68894454,M
1089,04092016223,MCDONALDS #35357,1001 FORESTVILLE  RD ,,WAKE FOREST,NC,27587,(919) 554-8094,2012-07-11T00:00:00.000Z,Restaurant,7425,-78.50622842,35.94490864,M
1090,04092016975,MCDONALDS #3259,869 SE MAYNARD RD,,CARY,NC,27511-4205,(919) 467-3883,2015-07-14T00:00:00.000Z,Restaurant,7426,-78.76464709,35.7763081,M
1094,04092017116,MUM'S JAMAICAN RESTAURANT,3901-101 CAPITAL BLVD ,,RALEIGH,NC,27604,(919) 615-2332,2015-12-14T00:00:00.000Z,Restaurant,7434,-78.58295913,35.83464973,M
1091,04092016982,FIVE GUYS #1728,150 CABELA DR ,,GARNER,NC,27529,(919) 772-7338,2015-07-06T00:00:00.000Z,Restaurant,7427,-78.58356211,35.69799194,M
1092,04092040335,WICKED LINKS #5 (WCID #567),1101 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 855-8548,2015-12-07T00:00:00.000Z,Pushcarts,7432,-78.87546661,35.74471718,M
1093,04092017106,DUNKIN DONUTS #337301,4415 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 876-9901,2015-12-11T00:00:00.000Z,Restaurant,7433,-78.61262519,35.84176217,M
1095,04092021820,MAX ORIENT,1105 WALNUT ST ,STE. F4,CARY,NC,27511,(919) 481-0025,2014-12-03T00:00:00.000Z,Food Stand,7440,-78.76025493,35.77377018,T
1096,04092016844,DUCK DONUTS,100 WRENN DR ,STE #101,CARY,NC,27511,(919) 468-8722,2014-12-17T00:00:00.000Z,Restaurant,7444,-78.78400848,35.76514973,M
1097,04092021454,Asian Cafe,1001 Airport BLVD ,,MORRISVILLE,NC,27560,(919) 467-8909,2007-05-25T00:00:00.000Z,Food Stand,7447,-78.81997749,35.86170428,M
1098,04092110464,WAKELON ELEMENTARY SCH. LUNCHROOM,8921 PIPPIN RD.,,ZEBULON,NC,27597,(919) 404-3840,2007-06-12T00:00:00.000Z,Public School Lunchrooms,7448,-78.33537224,35.85559212,M
1099,04092015780,"CRISTO'S NY STYLE PIZZA, LLC",1302 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 872-6797,2011-08-11T00:00:00.000Z,Restaurant,7450,-78.61557526,35.84978294,M
1100,04092016893,"3 OLIVES PIZZA &amp; DELI",800-103 S. NEW HOPE ROAD,,RALEIGH,NC,27610,(919) 250-0733,2015-03-13T00:00:00.000Z,Restaurant,7451,-78.56103865,35.78367204,T
1101,04092016899,NOODLES 865,1120 PARKSIDE MAIN ST.,,CARY,NC,27519,(919) 466-0900,2015-03-30T00:00:00.000Z,Restaurant,7452,-78.88929435,35.84836238,M
1102,04092016905,HIBACHI CHINA 88,239 TIMBER DR.,,GARNER,NC,27529,(984) 202-5880,2015-04-13T00:00:00.000Z,Restaurant,7453,-78.60613102,35.68500723,M
1103,04092015352,HOLIDAY INN EXPRESS Foodservice,1014 AIRPORT  BLVD ,,MORRISVILLE,NC,27560,(919) 653-2260,2009-03-06T00:00:00.000Z,Restaurant,7459,-78.81841046,35.85859642,M
1104,04092015380,CROSSROADS STADIUM 20 UNIT #1874,501 CAITBOO AVE ,,CARY,NC,27518,(919) 816-0220,2009-04-13T00:00:00.000Z,Restaurant,7461,-78.73520323,35.75834188,M
1105,04092015374,SHANE`S RIB SHACK #55,5811 POYNER VILLAGE PKY ,SUITE 101,RALEIGH,NC,27616,(919) 850-9900,2009-04-15T00:00:00.000Z,Restaurant,7462,-78.56916648,35.86464286,M
1106,04092015381,BEAVER CREEK CINEMAS 12,1441 Beaver Creek Commons DR,,APEX,NC,27502,(919) 362-7342,2009-04-13T00:00:00.000Z,Restaurant,7463,-78.88323254,35.74554014,M
1107,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010-02-03T00:00:00.000Z,Food Stand,7464,-78.63887103,35.83819686,M
1108,04092016901,THE LODGE AT WAKE FOREST #5647,1151 S Main ST ,,WAKE FOREST,NC,27587,(919) 554-8768,2015-04-08T00:00:00.000Z,Restaurant,7465,-78.5170664,35.96434032,M
1109,04092016929,41 Hundred,4100 MAIN AT NORTH HILLS  ST ,,RALEIGH,NC,27609,(919) 571-8773,2015-05-22T00:00:00.000Z,Restaurant,7470,-78.64382291,35.83596182,M
1110,04092016866,AWAZ'E ETHIOPIAN/ERITREAN CUISINE,904 NE MAYNARD RD ,,CARY,NC,27513,(919) 377-2599,2015-02-05T00:00:00.000Z,Restaurant,7475,-78.7683811,35.80043605,M
1114,04092021875,HL CATERING COMPANY,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015-09-29T00:00:00.000Z,Food Stand,7482,-78.65955263,35.79661924,M
1111,04092016872,HAMPTON INN (Breakfast area),1010 AIRPORT BLVD.,,MORRISVILLE,NC,27560,(919) 462-1620,2015-02-05T00:00:00.000Z,Restaurant,7476,-78.81929812,35.85344902,T
1112,04092021833,HARRIS TEETER #319 PRODUCE,2051 W. MILLBROOK ROAD,,RALEIGH,NC,27612,(919) 787-3048,2015-02-13T00:00:00.000Z,Food Stand,7477,-78.67971393,35.85737247,M
1113,04092016880,D'S BOTTLE SHOP,13200-115 FALLS OF NEUSE ROAD,,RALEIGH,NC,27614,(984) 232-0355,2015-03-02T00:00:00.000Z,Restaurant,7480,-78.56097042,35.94169829,M
1115,04092013536,CiCi`s Pizza,3501-132 Capital BLVD ,,RALEIGH,NC,27604-3366,(919) 863-2424,2002-02-28T00:00:00.000Z,Restaurant,7495,-78.58559583,35.82850307,M
1116,04092017795,Ciudad Mexico,908 US 64 Hwy. W ,,Apex,NC,27523,,2018-02-15T00:00:00.000Z,Restaurant,7499,-78.82335602,35.74480267,M
1117,04092016088,HIBACHI BLUE,1500 VILLAGE MARKET PL ,,MORRISVILLE,NC,27560,(919) 462-9899,2012-01-17T00:00:00.000Z,Restaurant,7506,-78.81676023,35.80454378,M
1118,04092021443,Domino`s Pizza #5506,3948 Western BLVD ,,RALEIGH,NC,27605,(919) 899-3599,2007-04-23T00:00:00.000Z,Food Stand,7509,-78.69301587,35.78440188,M
1119,04092040241,FOODLAND PUC #1 (WCID #322),WILMINGTON  ST ,,RALEIGH,NC,27603,,2010-06-18T00:00:00.000Z,Pushcarts,7517,0,0,U
1120,04092110493,Wake Forest High School Cafeteria,420  STADIUM  DR ,,WAKE FOREST ,NC,27587,(919) 554-8461,2010-07-30T00:00:00.000Z,Public School Lunchrooms,7518,-78.51629765,35.98569699,M
1121,04092021621,Edible Arrangements,416 Village Walk  DR ,,HOLLY SPRINGS,NC,27540,(919) 552-7002,2010-08-06T00:00:00.000Z,Food Stand,7519,-78.83920862,35.63987572,M
1122,04092016210,GARNER RD STOP N GO,2121 GARNER RD ,,RALEIGH,NC,27610,(919) 412-9458,2012-06-25T00:00:00.000Z,Restaurant,7520,-78.63080238,35.75168625,M
1123,04092014355,Jersey Mike`s #3002-A,5910 Duraleigh RD ,,RALEIGH,NC,27612,(919) 787-2540,2005-07-18T00:00:00.000Z,Restaurant,7523,-78.7119967,35.8587201,M
1124,04092021341,Harris Teeter #118 Produce,5277 Sunset Lake RD ,,HOLLY SPRINGS,NC,27540,(919) 363-3059,2005-08-15T00:00:00.000Z,Food Stand,7525,-78.79654321,35.66684153,M
1125,04092300229,Harris Teeter #118 Meat Market,5277 Sunset Lake RD ,,HOLLY SPRINGS,NC,27540,(919) 363-3059,2005-08-15T00:00:00.000Z,Meat Market,7526,-78.79654321,35.66684153,M
1126,04092021350,Earth Fare The Healthy Supermarket Specialty/Cheese,10341 Moncreiffe RD,,RALEIGH,NC,27617,(828) 712-4504,2005-08-24T00:00:00.000Z,Food Stand,7527,-78.79210079,35.89996272,M
1127,04092014887,Red Robin #573,11420 Capital  BLVD ,,WAKE FOREST,NC,27587,(919) 562-0276,2007-06-15T00:00:00.000Z,Restaurant,7532,-78.54012917,35.95578383,M
1128,04092020973,Food Lion #1079 Deli,5621 Louisburg Rd,,RALEIGH,NC,27616-5353,(919) 981-0402,2000-07-01T00:00:00.000Z,Food Stand,7552,-78.55796888,35.85459972,M
1129,04092020979,Food Lion #1259 Deli,3685 NEW BERN AVE,,RALEIGH,NC,27610-1232,(919) 231-7294,2000-07-01T00:00:00.000Z,Food Stand,7554,-78.57923704,35.79885313,M
1130,04092015575,TRIBECA TAVERN,500 LEDGESTONE WAY ,,CARY,NC,27519,(919) 465-3055,2010-02-19T00:00:00.000Z,Restaurant,7568,-78.84803797,35.79230683,M
1134,04092016963,RUCKUS ARBORETUM,2025 RENNAISANCE PARK PL ,,CARY,NC,27513,(919) 677-3999,2015-06-22T00:00:00.000Z,Restaurant,7574,-78.77209428,35.82791688,M
1131,04092015576,TROPICAL SMOOTHIE CAFE,8111-157 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 803-5991,2010-03-03T00:00:00.000Z,Restaurant,7569,-78.68081035,35.89754797,M
1132,04092015588,IRIS,2110 BLUE RIDGE RD ,,RALEIGH,NC,27607,(919) 664-6834,2010-03-24T00:00:00.000Z,Restaurant,7571,-78.71786688,35.8151161,M
1133,04092090014,FIVE POINTS CENTER FOR ACTIVE ADULTS,2000 NOBLE RD ,,RALEIGH,NC,27608,,2012-07-13T00:00:00.000Z,Elderly Nutrition Sites (catered),7572,-78.63490491,35.80838515,M
1135,04092021142,Sino Wok,5959-1108 Triangle Town Blv ,,RALEIGH,NC,27616,(919) 792-2499,2002-08-19T00:00:00.000Z,Food Stand,7575,-78.57159163,35.86546307,M
